id_user;computador_pessoal;gosto_jogos;frequencia_jogos;gosto_jogos_aventura;gosto_jogos_luta_acao;gosto_jogos_rpg;gosto_jogos_puzzle;gosto_jogos_esporte;ja_jogou_rpg_eletronico;ja_jogou_rpg_mesa;sexo;ano_nascimento;estado_civil;filhos
5062;1;1;2;3;2;1;4;5;2;4;1;2000;1;2
5063;1;4;4;2;4;4;2;2;3;3;2;2000;2;1
5067;1;1;1;1;1;1;3;1;2;2;1;2001;1;2
5068;1;1;4;1;1;1;5;5;2;5;1;2000;1;2
5069;1;4;4;3;3;3;2;2;4;4;1;1990;1;1
5070;1;3;5;2;4;1;3;5;1;1;1;2000;1;2
5073;3;5;5;5;5;5;5;5;5;4;2;1998;1;2
5074;1;2;3;2;2;2;2;2;1;4;1;1985;2;2
5077;1;3;3;3;4;1;3;4;3;4;1;1999;1;2
5079;1;2;4;2;5;3;1;5;5;5;2;1984;2;1
5085;1;1;4;3;3;3;3;3;2;4;1;2002;1;2
5086;1;1;4;1;1;1;2;3;2;4;2;2002;1;2
5087;1;1;3;1;1;2;1;3;2;4;2;1999;1;2
5088;1;5;5;5;5;5;5;5;5;5;1;1964;5;2
5089;1;2;3;2;2;2;2;2;1;1;1;1991;1;2
5090;1;1;4;2;2;2;2;2;3;3;2;1999;1;2
5091;1;2;4;3;3;2;3;1;2;2;1;1996;1;2
5092;2;5;5;4;4;5;2;4;5;5;2;2002;1;2
5093;2;2;4;2;1;2;2;1;1;2;1;2001;1;2
5094;1;1;1;2;2;2;3;2;2;4;1;2001;1;2
5095;1;1;1;2;2;1;2;5;1;2;1;1997;1;2
5097;1;1;1;1;1;1;2;1;3;4;2;2001;1;2
5098;2;1;1;1;1;1;1;1;2;2;2;2000;1;2
5099;1;4;4;4;4;4;4;4;4;4;2;1997;1;2
5100;1;3;4;2;1;2;2;2;2;3;2;2022;1;2
5102;2;1;2;2;1;3;2;2;2;4;1;2000;1;2
5103;1;5;5;5;5;5;5;5;3;3;2;2002;1;2
5104;1;3;4;2;4;5;2;2;4;4;2;2001;1;2
5105;2;2;1;1;1;1;2;2;3;4;1;2001;1;2
5106;1;1;1;1;1;2;1;3;1;2;1;2001;1;2
5107;1;2;2;1;1;4;4;4;1;1;2;2001;1;2
5108;2;3;4;1;1;4;1;4;4;4;2;2000;1;2
5109;1;4;4;4;5;5;2;5;3;4;2;2001;1;2
5110;1;1;2;3;1;3;2;1;2;2;1;2001;1;2
5111;2;4;4;2;1;5;1;3;3;4;2;2001;1;2
5112;2;1;1;1;1;3;2;1;2;3;2;2001;1;2
5113;1;5;5;5;5;5;5;5;5;5;2;1991;1;1
5114;1;1;1;1;1;1;1;1;1;4;1;2001;1;2
5115;1;1;2;1;1;2;1;2;2;2;1;2000;1;2
5116;2;1;1;1;1;1;1;3;1;2;2;1983;1;1
5117;1;1;1;1;1;1;2;1;2;5;1;2001;1;2
5117;1;1;1;1;1;1;3;1;2;5;1;2001;1;2
5118;2;2;4;2;2;4;3;2;3;5;1;2000;1;2
5120;1;2;3;1;2;4;3;1;1;2;1;2002;1;2
5121;1;1;2;2;2;2;2;2;1;5;1;2001;1;2
5122;1;2;3;2;3;2;2;4;3;4;2;2002;1;2
5123;1;1;1;1;1;2;2;2;1;4;1;2001;1;2
5124;1;1;2;1;1;2;3;4;1;4;1;1992;1;1
5125;1;2;3;1;1;2;1;4;1;3;1;2002;1;2
5126;1;2;2;1;2;2;3;2;2;4;1;2002;1;2
5127;1;1;2;1;3;1;2;4;1;4;1;2002;1;2
5128;1;1;3;1;2;3;2;3;2;5;1;2002;1;2
5129;1;3;3;1;3;2;2;1;2;2;1;2000;1;2
5130;1;1;2;1;2;4;5;2;3;5;1;2001;1;2
5131;2;3;4;1;1;4;3;2;2;5;1;2001;1;2
5132;1;1;1;1;1;1;1;4;1;4;2;2002;1;2
5133;1;2;1;2;2;2;2;1;1;1;1;2001;1;2
5134;1;4;4;2;5;5;5;5;4;4;2;2001;1;2
5135;1;2;3;2;2;3;3;5;1;5;1;2001;1;2
5136;1;5;5;5;5;5;5;5;4;2;2;2001;1;2
5137;1;3;4;3;2;4;3;2;3;4;1;2001;1;2
5138;1;1;1;1;3;1;2;5;4;3;1;2001;1;2
5140;1;2;2;2;5;3;1;5;2;2;1;1999;1;2
5141;1;2;4;1;1;5;3;3;4;4;1;2001;1;2
5142;1;2;3;2;2;2;2;2;4;4;1;2002;1;2
5143;1;1;2;2;1;2;3;4;1;4;1;2002;1;2
5144;1;3;4;2;2;4;2;4;3;3;1;2020;1;2
5145;1;1;3;2;2;5;4;2;2;4;1;1993;1;2
5146;1;2;4;1;1;3;4;4;3;4;1;2001;1;2
5147;1;4;4;3;3;4;2;5;4;4;2;2002;1;2
5148;1;1;2;1;1;1;1;4;1;4;1;2002;1;2
5149;1;1;4;2;2;3;3;4;2;4;2;2001;1;2
5150;1;1;2;2;1;3;2;1;2;4;2;2003;1;2
5151;1;1;2;1;3;1;3;5;1;2;1;2002;1;2
5152;1;2;4;2;3;3;2;2;2;5;1;2001;1;2
5153;2;4;4;3;2;5;5;2;3;3;1;1997;1;2
5154;1;1;3;2;1;2;3;2;2;2;2;2000;1;2
5155;1;3;4;3;4;5;1;2;5;4;2;2002;1;2
5156;1;3;4;4;1;4;1;5;4;4;2;1998;1;2
5157;2;4;4;4;4;5;2;5;4;4;1;1996;1;2
5158;1;1;1;2;1;1;2;2;1;4;1;1997;1;2
5159;1;3;4;3;3;3;2;2;2;4;1;2002;1;2
5161;1;1;1;1;3;1;2;4;1;1;1;1999;1;2
5162;1;1;1;2;3;1;1;5;3;2;2;2001;1;2
5163;1;3;4;2;2;5;2;3;4;4;2;2001;1;2
5164;1;1;2;1;1;1;1;2;1;1;1;2001;1;2
5165;1;1;3;2;2;1;1;2;2;2;2;2001;1;2
5166;1;3;3;2;2;5;4;4;4;4;2;2001;1;2
5167;1;4;4;2;2;2;3;3;3;5;2;2002;1;2
5168;1;2;2;3;3;1;3;4;2;4;1;2002;1;2
5170;1;2;2;2;2;3;3;4;2;5;1;2003;1;2
5171;1;4;4;4;4;4;3;5;4;4;2;2002;1;2
5172;1;1;1;3;1;4;4;2;2;5;1;2001;1;2
5173;1;1;1;1;1;4;3;4;4;4;1;2002;1;2
5174;1;5;4;4;2;3;1;4;3;4;2;2002;1;2
5175;1;1;2;2;1;5;1;1;4;4;1;2002;1;2
5176;1;1;4;1;2;1;1;3;1;4;1;2001;1;2
5177;1;2;1;2;1;2;2;1;4;4;1;1983;2;1
5178;1;2;4;1;1;2;1;3;2;2;2;2001;1;2
5179;1;2;3;2;3;1;3;4;2;4;1;2001;1;2
5180;1;1;2;1;2;1;3;2;1;1;1;2000;1;2
5181;1;1;1;1;1;1;1;4;1;4;1;2020;1;2
5182;1;4;4;2;5;5;2;5;4;4;1;2001;1;2
5183;1;2;2;2;2;2;3;4;2;3;1;2001;1;2
5184;1;4;4;4;2;4;3;4;5;4;2;2002;1;2
5186;1;2;3;5;5;2;5;2;4;4;1;2001;1;2
5188;1;1;1;1;1;1;1;1;1;2;1;1998;1;2
5189;2;1;4;1;1;2;3;4;2;4;1;2002;1;2
5190;1;3;4;3;4;3;2;2;4;4;2;2000;1;2
5191;1;1;3;1;1;5;1;2;3;4;2;2001;1;2
5192;1;1;3;1;3;1;2;5;1;2;1;2001;1;2
5194;1;1;4;1;1;2;2;1;2;4;1;2001;1;2
5195;1;5;5;5;5;5;5;5;5;5;1;1999;1;2
5196;1;1;1;1;1;1;1;3;1;1;2;2002;1;2
5197;2;2;3;2;2;4;3;1;4;4;1;2002;1;2
5198;1;1;3;1;1;2;1;2;2;3;2;2001;1;2
